taxonomy_key,names
dry cured parma ham,dojrzewająca szynka parmeńska
dry cured serrano ham,dojrzewająca szynka serrano
dry pearl tapioca,sucha tapioka perłowa
dry rice noodles,suchy makaron ryżowy
dry white wine,wytrawne białe wino
dry whole wheat pasta,suchy makaron pełnoziarnisty
duck fat,tłuszcz kaczy
duck gizzard,żołądek kaczy
durian,durian
eau de vie,wódka owocowa
edamame,edamame
edible podded pea,groszek cukrowy
elk meat,mięso wapiti
emu,emu
enoki mushrooms,grzyby enoki
enriched semolina,wzbogacona semolina
epazote,komosa piżmowa
eppaw,asimina
european oysters,ostrygi europejskie
extra old mimolette,bardzo dojrzały ser mimolette
faiselle,faisselle
farmed rainbow trout,pstrąg tęczowy hodowlany
farmed trout,pstrąg hodowlany
farmed turbot,turbot hodowlany
farmed wild gilthead seabream,dorada hodowlana
farmers maroilles,rzemieślniczy ser maroilles
fat free sour cream,beztłuszczowa kwaśna śmietana
feijoa,feijoa
fennel seed,nasiona kopru włoskiego
feta cheese from ewe s milk,ser feta z mleka owczego
fiddlehead fern,młode pędy paproci
firewood leaf,liście senesu siamea
firm tofu,twarde tofu
first age baby milk powder,mleko początkowe w proszku
flat bean,płaska fasola
flat fish,ryba płaska
flaxseed oil with added sliced flaxseed,olej lniany z dodatkiem rozdrobnionego siemienia
florida avocado,awokado florydzkie
fluid acid whey,płynna kwaśna serwatka
fluid indian buffalo milk,płynne mleko bawole
fluid sweet whey,płynna słodka serwatka
fontina,ser fontina
fourme d ambert,ser fourme d'ambert
fourme de montbrison,ser fourme de montbrison
fractionated confectionery palm shortening,frakcjonowany palmowy tłuszcz cukierniczy
fractionated palm shortening,frakcjonowany tłuszcz palmowy
frankfurter sausages,parówki frankfurterki
freekeh,freekeh
fresh basil,świeża bazylia
fresh broad bean to shell,świeży bób do łuskania
fresh chervil,świeża trybula
fresh chives,świeży szczypiorek
fresh dill,świeży koperek
fresh egg pasta,świeży makaron jajeczny
fresh garlic,świeży czosnek
fresh glasswort,świeży soliród
fresh lima bean,świeża fasola lima
fresh peppermint,świeża mięta pieprzowa
fresh rosemary,świeży rozmaryn
fresh sage,świeża szałwia
fresh spearmint,świeża mięta zielona
fresh thyme,świeży tymianek
fresh walnut,świeży orzech włoski
freshwater bream,leszcz słodkowodny
frog legs,żabie udka
fromage blanc,ser fromage blanc
frozen loganberry,mrożona malinojeżyna
frozen unprepared turnip green and turnip,mrożona rzepa z liśćmi
frying oil,olej do smażenia
fuki,lepiężnik japoński
full fat acorn flour,pełnotłusta mąka żołędziowa
fully hydrogenated menhaden fish oil,całkowicie uwodorniony olej z menhadena
gai lan,brokuł chiński gai lan
garden peas,groszek ogrodowy
garland chrysanthemum,złocień wieńcowy
garlic sausage,kiełbasa czosnkowa
ginkgo nuts,orzechy miłorzębu
glasswort,soliród
globe artichoke,karczoch zwyczajny
goat meat,mięso kozie
plain goat s milk yogurt with around 5 fat,jogurt naturalny z mleka koziego około 5% tłuszczu
golden raisin,złote rodzynki
goose liver,wątroba gęsia
grana padano,ser grana padano
granulated sugar,cukier kryształ
grape leaf,liść winorośli
grapefruit pulp,miąższ grejpfruta
grated emmental cheese,tarty ser emmental
greek style marinated mushrooms,marynowane grzyby po grecku
green cauliflower,zielony kalafior
green endive,zielona endywia
green leaf lettuce,zielona sałata liściowa
green soy bean,zielona soja
green tomato,zielony pomidor
green turtle,żółw zielony
grenadier,buławik
grey pepper,szary pieprz
grey salt,szara sól morska
ground clove,mielone goździki
ground coffee,kawa mielona
ground nutmeg,mielona gałka muszkatołowa
ground sage,mielona szałwia
gruyere pgi,ser gruyère ChOG
gruyère,ser gruyère
guacamole,guacamole
guinea hen,perliczka
half old mimolette,półdojrzały ser mimolette
ham in cube,szynka w kostce
ham sausages,kiełbaski szynkowe
hard red spring wheat,twarda czerwona pszenica jara
hard red winter wheat,twarda czerwona pszenica ozima
hard white wheat,twarda biała pszenica
hazelnut oil,olej z orzechów laskowych
hemp seed,nasiona konopi
herring fish oil,olej śledziowy
hickorynut,orzech hikory
high fat sesame flour,pełnotłusta mąka sezamowa
high oleic sunflower oil,wysokooleinowy olej słonecznikowy
high oleic sunflower oil 70 and over,wysokooleinowy olej słonecznikowy 70% i więcej
home preparedfalafel,domowy falafel
honeydew melon,melon miodowy
horned melon,kiwano
goat s milk yogurt,jogurt z mleka koziego
household hydrogenated soybean and palm shortening,uwodorniony domowy tłuszcz sojowo-palmowy
hungarian peppers,papryka węgierska
hyacinth bean,fasola hiacyntowa
hydrogenated palm shortening,uwodorniony tłuszcz palmowy
hydrogenated soybean and hydrogenated palm multipurpose shortening,uniwersalny uwodorniony tłuszcz sojowo-palmowy
hydrogenated soybean palm and cottonseed shortening for baking,uwodorniony tłuszcz piekarski sojowo-palmowo-bawełniany
hydrogenated soybean shortening,uwodorniony tłuszcz sojowy
hydrogenated soybean shortening for cakes and frostings,uwodorniony tłuszcz sojowy do ciast i kremów
immature cowpeas,niedojrzała wspięga
immature winged bean seed,niedojrzałe nasiona fasoli skrzydlatej
industrial hydrogenated soybean and cottonseed shortening,przemysłowy uwodorniony tłuszcz sojowo-bawełniany
industrial maroille,przemysłowy ser maroilles
industrial partially hydrogenated soy shortening,przemysłowy częściowo uwodorniony tłuszcz sojowy
infusion brewed without sugar,napar bez cukru
irish moss,chrząstnica kędzierzawa
java plum,czapetka kuminowa
jellyfish,meduza
jujube,głożyna pospolita
kanpyo,suszona tykwa kanpyō
kelp,brunatnice kelp
kombu,wodorost kombu
laguiole cheese from cow s milk,ser laguiole z mleka krowiego
lamb cutlet,kotlet jagnięcy
lamb leg,udziec jagnięcy
lamb livers,wątroba jagnięca
lamb neck,kark jagnięcy
lamb on skewer,szaszłyk jagnięcy
lamb rib,żeberko jagnięce
lamb saddle,comber jagnięcy
lamb sweetbread,grasica jagnięca
langres,ser langres
lard and vegetable oil household shortening,domowy tłuszcz piekarski ze smalcu i oleju roślinnego
lard and vegetable oil industrial shortening,przemysłowy tłuszcz piekarski ze smalcu i oleju roślinnego
lard and vegetable oil shortening,tłuszcz piekarski ze smalcu i oleju roślinnego
lardon,boczek lardon
laver,wodorost nori
leafy balsam pear tips,młode liście przepękli ogórkowatej
leafy tips cowpeas,młode liście wspięgi
lemon pulp,miąższ cytryny
lemon sole,smuklica
lemon zest,skórka cytrynowa
lentil flour,mąka z soczewicy
lightly salted 80 fat butter,lekko solone masło 80% tłuszczu
lightly salted butter,lekko solone masło
lingcod,zębacz lingcod
linoleic free hydrogenated soybean shortening,uwodorniony tłuszcz sojowy bez kwasu linolowego
linoleic sunflower oil less than 60,olej słonecznikowy poniżej 60% kwasu linolowego
livarot,ser livarot
loganberry,malinojeżyna loganberry
longan,longan
lotus root,korzeń lotosu
lotus seed,nasiona lotosu
low sodium catsup,ketchup o obniżonej zawartości sodu
low sodium fluid milk,płynne mleko o obniżonej zawartości sodu
lupin flour,mąka łubinowa
maasdam type firm cheese with around 27 fat,twardy ser typu maasdam około 27% tłuszczu
mahi mahi,koryfena
maitake mushroom,żagwica listkowata
maize bran,otręby kukurydziane
malt beer,piwo słodowe
malt syrup,syrop słodowy
mamey sapote,mamey
mammy apple,mamea amerykańska
mandarin pulp,miąższ mandarynki
maple sugar,cukier klonowy
maroilles,ser maroilles
mature winged bean seed,dojrzałe nasiona fasoli skrzydlatej
mediterranean bass,labraks
medium rye flour,średnia mąka żytnia
medlar,nieszpułka
megrim,smuklica megrim
menhaden fish oil,olej z menhadena
merguez,kiełbasa merguez
microwaved farmed salmon,łosoś hodowlany z mikrofalówki
milkfish,chanos
mimolette,ser mimolette
montbeliard sausage,kiełbasa montbéliard
moose meat,mięso łosia
morbier,ser morbier
morteaux sausage,kiełbasa morteau
moth bean,fasola matki
muenster cheese,ser muenster
mulberry,morwa
mullet,cefalo
muskrat meat,mięso piżmaka
mussel,omułek
mustard cabbage,kapusta sitowata
mustard greens,liście gorczycy
mustard oil,olej gorczycowy
mustard spinach,komatsuna
mutton leg,udziec barani
nance,nance
naranjilla,lulo
neufchâtel,ser neufchâtel
new zealand spinach,szpinak nowozelandzki
nopales,nopales
nuoc mam,sos rybny nuoc mam
nutmeg butter oil,olej z masła muszkatołowego
oat oil,olej owsiany
octopus,ośmiornica
okra,okra
old mimolette,dojrzały ser mimolette
orange marmalade,marmolada pomarańczowa
orange tomato,pomarańczowy pomidor
ossau iraty,ser ossau-iraty
ostrich,struś
oyster,ostryga
pale leaf woodland sunflower,słoneczniczek szorstki
pangas,panga
partially defatted cottonseed flour,częściowo odtłuszczona mąka z nasion bawełny
partially defatted cottonseed meal,częściowo odtłuszczona śruta bawełniana
partially defatted safflower seed meal,częściowo odtłuszczona śruta krokoszowa
partially defatted sesame flour,częściowo odtłuszczona mąka sezamowa
partially defatted sesame meal,częściowo odtłuszczona śruta sezamowa
partially defatted sunflower seed flour,częściowo odtłuszczona mąka słonecznikowa
partially hydrogenated industrial canola oil,przemysłowy częściowo uwodorniony olej canola
partially hydrogenated soy and corn industrial shortening for frying,przemysłowy częściowo uwodorniony tłuszcz sojowo-kukurydziany do smażenia
partially hydrogenated soybean and partially hydrogenated cottonseed household shortening,domowy częściowo uwodorniony tłuszcz sojowo-bawełniany
pasilla peppers,papryczki pasilla
passion fruit juice,sok z marakui
pasteurized semi skimmed milk,pasteryzowane mleko częściowo odtłuszczone
pasteurized skimmed milk,pasteryzowane mleko odtłuszczone
peach puree,purée brzoskwiniowe
peanut butter or peanut paste,masło lub pasta orzechowa
pear nectar,nektar gruszkowy
pecorino,ser pecorino
pepeao,grzyb pepeao
pepeiao,grzyb pepeiao
peruvian scallop without coral,przegrzebek peruwiański bez ikry
petit suisse,ser petit-suisse
pheasant,bażant
picodon,ser picodon
pigeon pea,groszek gołębi
pilinut,orzech pili
pink grapefruit,różowy grejpfrut
pink shrimps,różowe krewetki
pitanga,pitanga
pitted cherry,wiśnia bez pestki
pitted dried apricots,suszone morele bez pestek
pizza dough,ciasto na pizzę
plain greek style yogurt,jogurt naturalny typu greckiego
plantain banana,banan warzywny
poached egg,jajko w koszulce
pokeberry shoots,pędy szkarłatki
pollack,czarniak
pomelo pulp,miąższ pomelo
pont l evêque,ser pont-l'évêque
poppyseed oil,olej makowy
pork belly,boczek wieprzowy
pork chops,kotlety wieprzowe
pork cutlet,kotlet wieprzowy
pork kidney,nerka wieprzowa
pork tongue,język wieprzowy
potato skin,skórka ziemniaka
potherb,warzywo liściowe
precooked potato,podgotowany ziemniak
prepacked almond paste,pakowana pasta migdałowa
prepacked bearnaise sauce,pakowany sos béarnaise
prepacked burger sauce,pakowany sos do burgerów
prepacked harissa,pakowana harissa
prepacked marzipan,pakowany marcepan
prepacked mustard sauce,pakowany sos musztardowy
prickly pear,opuncja figowa
provolone,ser provolone
puffed rice,ryż preparowany
pumpkin flower,kwiat dyni
pumpkin leaves,liście dyni
pure maple syrup,czysty syrop klonowy
pureed green bean,purée z zielonej fasolki
purslane,portulaka
quenelle,knedel quenelle
rabbit liver,wątroba królicza
rabbit meat,mięso królika
raclette,ser raclette
raspberry puree with seeds,purée malinowe z pestkami
raw balsam pear pods,surowe owoce przepękli ogórkowatej
raw minced beef steak with 10 fat,surowy mielony stek wołowy 10% tłuszczu
raw minced beef steak with 15 fat,surowy mielony stek wołowy 15% tłuszczu
reblochon,ser reblochon
red endive,czerwona endywia
red fruit,czerwone owoce
red kuri squash,dynia hokkaido
red leaf lettuce,czerwona sałata liściowa
reduced fat maasdam type firm cheese with around 14 fat,ser typu maasdam o obniżonej zawartości tłuszczu około 14%
reduced fat mayonnaise,majonez o obniżonej zawartości tłuszczu
reduced fat sour cream,kwaśna śmietana o obniżonej zawartości tłuszczu
reduced sodium peanut butter,masło orzechowe o obniżonej zawartości sodu
refrigerated 30 fat thick cream,schłodzona gęsta śmietana 30% tłuszczu
refrigerated panna cotta,schłodzona panna cotta
rehydrated textured soy protein,uwodnione teksturowane białko sojowe
rice bran,otręby ryżowe
rice bran oil,olej z otrębów ryżowych
rice wine,wino ryżowe
rocamadour,ser rocamadour
romanesco broccoli,brokuł romanesco
roquefort,ser roquefort
rose apple,jabłko różane
roundnose grenadier,buławik siwy
rowal,rowal
rum,rum
rutabaga,brukiew
rye flour type 130,mąka żytnia typ 130
rye flour type 170,mąka żytnia typ 170
rye grain,ziarno żyta
sablefish,anoplopoma
sablé,ciastko sablé
safflower seed kernels,łuskane nasiona krokosza
saint marcellin,ser saint-marcellin
saint moret,ser saint môret
saint nectaire,ser saint-nectaire
sainte maure cheese,ser sainte-maure
sainte maure de touraine,ser sainte-maure-de-touraine
sake,sake
salad or cooking olive oil,oliwa do sałatek lub gotowania
salema,sarpa
salers,ser salers
salmon fish oil,olej z łososia
salted butter,masło solone
salted dried cod,solony suszony dorsz
sapodilla,sapodilla
sardine fish oil,olej sardynkowy
scallop with coral,przegrzebek z ikrą
scallop without coral,przegrzebek bez ikry
scup,pagrus północny
sea belt,wodorost himanthalia
sea trout,troć wędrowna
second age baby milk powder,mleko następne w proszku
seeded raisin,rodzynki z pestkami
seedless golden raisin,złote rodzynki bez pestek
seedless raisin,rodzynki bez pestek
seedless raspberry puree,purée malinowe bez pestek
semi skimmed milk powder,mleko częściowo odtłuszczone w proszku
serrano peppers,papryczki serrano
sesbania flower,kwiat sesbanii
sheepshead,sargus owczak
shortbread,kruche ciastko maślane
shortcrust dough,ciasto kruche
skim milk plain yogurt,naturalny jogurt z mleka odtłuszczonego
skimmed yogurt,jogurt odtłuszczony
smoked cured ham,wędzona szynka dojrzewająca
smoked duck breast fillet,wędzony filet z piersi kaczki
smoked lardoons,wędzony boczek lardon
smoked pork belly,wędzony boczek wieprzowy
smoked rainbow trout,wędzony pstrąg tęczowy
smoked salmon,wędzony łosoś
snapper,lucjan
soft red winter wheat,miękka czerwona pszenica ozima
soft tofu,miękkie tofu
soft white wheat,miękka biała pszenica
soft whole wheat flour,delikatna mąka pełnoziarnista
solid vegetable fat for frying,stały tłuszcz roślinny do smażenia
sorghum syrup,syrop sorgo
soursop,graviola
soy protein concentrate acid wash,koncentrat białka sojowego płukany kwasem
soy protein concentrate alcohol extraction,koncentrat białka sojowego ekstrahowany alkoholem
soy protein isolate soy protein concentrate,izolat i koncentrat białka sojowego
spaghetti squash pulp,miąższ dyni makaronowej
spanish peanut,orzeszki ziemne hiszpańskie
spinach puree,purée szpinakowe
spiny scorpionfish,skorpena kolczasta
sponge cake,biszkopt
spot,kulbin plamisty
spotted wolffish,zębacz plamisty
sprouted radish seed,kiełkujące nasiona rzodkiewki
squirrel meat,mięso wiewiórki
strawberry guavas,gujawa truskawkowa
stuffed olives,nadziewane oliwki
sugar apple,flaszowiec łuskowaty
sundried tomatoes,pomidory suszone na słońcu
sunflower seed paste,pasta z nasion słonecznika
surimi,surimi
sweet onion,słodka cebula
sweet potato leaves,liście batata
sweet potato puree cooked with cream,purée z batata ze śmietaną
sweetened condensed whole milk,słodzone zagęszczone mleko pełne
swiss cheese,ser szwajcarski
tahitian taro,taro tahitańskie
tangle,listownica
taro leaves,liście taro
taro shoots,pędy taro
taro tuber,bulwa taro
tart cherry juice,sok z kwaśnych wiśni
teaseed oil,olej z nasion herbaty
tempeh,tempeh
thongweed,wodorost himanthalia
tilefish,płytecznik
toasted hazelnuts,prażone orzechy laskowe
tomatillo,miechunka pomidorowa
tomato powder,pomidor w proszku
tomatoseed oil,olej z pestek pomidora
tomme,ser tomme
tomme de savoie,ser tomme de savoie
tonguesole,solenka
tsunomata,wodorost tsunomata
tuna in brine,tuńczyk w solance
tuna in oil,tuńczyk w oleju
turbinado sugar,cukier turbinado
turbot,turbot
turnip green,liście rzepy
ucuhuba butter oil,olej z masła ucuhuba
uncooked amaranth grain,surowe ziarno amarantusa
uncooked kamut khorasan wheat,surowa pszenica khorasan kamut
uncooked teff,surowy teff
unprepared canadian bacon,surowy bekon kanadyjski
unprepared frozen turnip,mrożona nieprzygotowana rzepa
unsalted butter,masło niesolone
valencia peanut,orzeszki ziemne valencia
vanilla ice cream,lody waniliowe
veal,cielęcina
veal fond,fond cielęcy
vegetable oil blend,mieszanka olejów roślinnych
vegetable oyster,kozibród porolistny
vine spinach,szpinak malabarski
vinegar gherkin,korniszon
virginia peanut,orzeszki ziemne virginia
vital wheat gluten,witalny gluten pszenny
vodka,wódka
wakame,wakame
walnut kernel,jądro orzecha włoskiego
wasabi,wasabi
water spinach,wilec wodny
watercress,rukiew wodna
watermelon pulp,miąższ arbuza
watermelon seed kernels,łuskane nasiona arbuza
wheat flour type 110,mąka pszenna typ 110
wheat flour type 150,mąka pszenna typ 150
wheat flour type 55,mąka pszenna typ 55
wheat flour type 65,mąka pszenna typ 65
wheat germ oil,olej z kiełków pszenicy
wheat semolina,semolina pszenna
whipped butter whipped with salt,ubite masło solone
whisky,whisky
white corn,biała kukurydza
white corn flour,mąka z białej kukurydzy
white corn grain,ziarno białej kukurydzy
white flowered gourd,biała tykwa
white icicle radish,biała rzodkiew sopel lodu
white walnut,orzech szary
white whole grain corn flour,pełnoziarnista mąka z białej kukurydzy
white whole meal cornmeal,pełnoziarnista kaszka z białej kukurydzy
whole chicken,cały kurczak
whole goat milk,pełne mleko kozie
whole grain amaranth flour,pełnoziarnista mąka z amarantusa
whole grain blue corn flour,pełnoziarnista mąka z niebieskiej kukurydzy
whole grain buckwheat flour,pełnoziarnista mąka gryczana
whole grain corn flour,pełnoziarnista mąka kukurydziana
whole grain durum wheat,pełne ziarno pszenicy durum
whole grain rice,ryż pełnoziarnisty
whole grain triticale flour,pełnoziarnista mąka pszenżytnia
whole milk yogurt,jogurt z pełnego mleka
whole sheep milk,pełne mleko owcze
whole sorghum flour,pełnoziarnista mąka sorgo
wholegrain maize semolina,pełnoziarnista kasza kukurydziana
wholemeal buckwheat,gryka pełnoziarnista
wild salmon,dziki łosoś
wild turbot,dziki turbot
yam,pochrzyn
yambean,kłębian kątowaty
yardlong beans,fasola metrowa
yautia,malanga
yellow corn grain,ziarno żółtej kukurydzy
yellow grapefruit,żółty grejpfrut
yellow peach,żółta brzoskwinia
yellow tomato,żółty pomidor
yellow whole grain corn flour,pełnoziarnista mąka z żółtej kukurydzy
yellow whole grain cornmeal,pełnoziarnista kaszka z żółtej kukurydzy
yellowfin tuna,tuńczyk żółtopłetwy
young goat,koźlęcina
young green onion tops,młody szczypior
young mimolette,młody ser mimolette
ōhelo berry,jagoda ʻōhelo
